"Felder Export CD-Datenbank Jakob / Phononet
",,,,,,
xml.tag ,Bezeichnung,Beschreibung,Anmerkung,Beispiel,Tag Bezeichnung Phononet,Referez Tag Phononet bei Tabellen
track,Aufbau eines einzelnen Track auf der CD,,,"<track>
        <trackno>12</trackno>
        <setno>1</setno>
        <isrc>DEN961001990</isrc>
        <main_artist>HOPE,DANIEL</main_artist>
        <title>arranged for Violin and Orchestra by Franz Waxman</title>
        <work>Humoresque, Op.101, No.7</work>
        <playtime>003:04</playtime>
        <sound>
          <file>/d2/014/793/EZOXYBLCPZAGRXHKMWEOCPRYBWOP.mp3</file>
          <sound_type>prelistening</sound_type>
          <codec>mp3</codec>
          <bitrate>56</bitrate>
          <channels>stereo</channels>
        </sound>
      </track>",track,
trackno,,,"Tracknummer (numerisch, 2-stellig)",,trackno,
setno,,,"Set-Nummer, wenn das Produkt mehrere Medien
enthält (numerisch, 3-stellig)",,setno,
composer,,,Komponist (256 Zeichen) dieses Tracks,,composer,
conductor,,,Chorleiter oder Bandleader (256 Zeichen),,conductor,
orchestra,,,Orchester (256 Zeichen),,orchestra,
main_publisher,,,Verleger (256 Zeichen),,main_publisher,
main_artist,,,Künstler (256 Zeichen),,main_artist,
title,,,Tracktitel (256 Zeichen),,title,
work,,,"Werktitel (nur im Bereich Klassik, 1024 Zeichen). Diese
Angabe ersetzt die Angabe von Subtracks. D.h.
mehrere aufeinander folgende Tracks mit gleichem
Werktitel gehören zu einem Werk und gelten als
Subtracks dieses Werks.",,work,
is_live,,,"L für Lifeaufnahme, ansonsten Blank",,is_live,
playtime,,,Trackspieldauer (Mmmss),,playtime,
